Series ID,Year,Period,Label,Value
CUUR0000SAF,1967,M01,1967 Jan,34.8
CUUR0000SAF,1967,M02,1967 Feb,34.7
CUUR0000SAF,1967,M03,1967 Mar,34.7
CUUR0000SAF,1967,M04,1967 Apr,34.6
CUUR0000SAF,1967,M05,1967 May,34.6
CUUR0000SAF,1967,M06,1967 Jun,34.9
CUUR0000SAF,1967,M07,1967 Jul,35.2
CUUR0000SAF,1967,M08,1967 Aug,35.4
CUUR0000SAF,1967,M09,1967 Sep,35.2
CUUR0000SAF,1967,M10,1967 Oct,35.2
CUUR0000SAF,1967,M11,1967 Nov,35.2
CUUR0000SAF,1967,M12,1967 Dec,35.3
CUUR0000SAF,1968,M01,1968 Jan,35.6
CUUR0000SAF,1968,M02,1968 Feb,35.7
CUUR0000SAF,1968,M03,1968 Mar,35.8
CUUR0000SAF,1968,M04,1968 Apr,36.0
CUUR0000SAF,1968,M05,1968 May,36.1
CUUR0000SAF,1968,M06,1968 Jun,36.2
CUUR0000SAF,1968,M07,1968 Jul,36.4
CUUR0000SAF,1968,M08,1968 Aug,36.6
CUUR0000SAF,1968,M09,1968 Sep,36.6
CUUR0000SAF,1968,M10,1968 Oct,36.7
CUUR0000SAF,1968,M11,1968 Nov,36.6
CUUR0000SAF,1968,M12,1968 Dec,36.8
CUUR0000SAF,1969,M01,1969 Jan,37.0
CUUR0000SAF,1969,M02,1969 Feb,37.0
CUUR0000SAF,1969,M03,1969 Mar,37.2
CUUR0000SAF,1969,M04,1969 Apr,37.4
CUUR0000SAF,1969,M05,1969 May,37.5
CUUR0000SAF,1969,M06,1969 Jun,38.0
CUUR0000SAF,1969,M07,1969 Jul,38.4
CUUR0000SAF,1969,M08,1969 Aug,38.6
CUUR0000SAF,1969,M09,1969 Sep,38.7
CUUR0000SAF,1969,M10,1969 Oct,38.6
CUUR0000SAF,1969,M11,1969 Nov,38.9
CUUR0000SAF,1969,M12,1969 Dec,39.4
CUUR0000SAF,1970,M01,1970 Jan,39.6
CUUR0000SAF,1970,M02,1970 Feb,39.8
CUUR0000SAF,1970,M03,1970 Mar,39.8
CUUR0000SAF,1970,M04,1970 Apr,40.0
CUUR0000SAF,1970,M05,1970 May,40.1
CUUR0000SAF,1970,M06,1970 Jun,40.2
CUUR0000SAF,1970,M07,1970 Jul,40.4
CUUR0000SAF,1970,M08,1970 Aug,40.4
CUUR0000SAF,1970,M09,1970 Sep,40.4
CUUR0000SAF,1970,M10,1970 Oct,40.4
CUUR0000SAF,1970,M11,1970 Nov,40.2
CUUR0000SAF,1970,M12,1970 Dec,40.3
CUUR0000SAF,1971,M01,1971 Jan,40.4
CUUR0000SAF,1971,M02,1971 Feb,40.5
CUUR0000SAF,1971,M03,1971 Mar,40.9
CUUR0000SAF,1971,M04,1971 Apr,41.2
CUUR0000SAF,1971,M05,1971 May,41.3
CUUR0000SAF,1971,M06,1971 Jun,41.6
CUUR0000SAF,1971,M07,1971 Jul,41.8
CUUR0000SAF,1971,M08,1971 Aug,41.9
CUUR0000SAF,1971,M09,1971 Sep,41.6
CUUR0000SAF,1971,M10,1971 Oct,41.6
CUUR0000SAF,1971,M11,1971 Nov,41.6
CUUR0000SAF,1971,M12,1971 Dec,42.0
CUUR0000SAF,1972,M01,1972 Jan,42.0
CUUR0000SAF,1972,M02,1972 Feb,42.6
CUUR0000SAF,1972,M03,1972 Mar,42.7
CUUR0000SAF,1972,M04,1972 Apr,42.7
CUUR0000SAF,1972,M05,1972 May,42.7
CUUR0000SAF,1972,M06,1972 Jun,42.9
CUUR0000SAF,1972,M07,1972 Jul,43.3
CUUR0000SAF,1972,M08,1972 Aug,43.4
CUUR0000SAF,1972,M09,1972 Sep,43.5
CUUR0000SAF,1972,M10,1972 Oct,43.5
CUUR0000SAF,1972,M11,1972 Nov,43.7
CUUR0000SAF,1972,M12,1972 Dec,43.9
CUUR0000SAF,1973,M01,1973 Jan,44.7
CUUR0000SAF,1973,M02,1973 Feb,45.5
CUUR0000SAF,1973,M03,1973 Mar,46.6
CUUR0000SAF,1973,M04,1973 Apr,47.2
CUUR0000SAF,1973,M05,1973 May,47.7
CUUR0000SAF,1973,M06,1973 Jun,48.3
CUUR0000SAF,1973,M07,1973 Jul,48.7
CUUR0000SAF,1973,M08,1973 Aug,51.3
CUUR0000SAF,1973,M09,1973 Sep,51.0
CUUR0000SAF,1973,M10,1973 Oct,51.0
CUUR0000SAF,1973,M11,1973 Nov,51.6
CUUR0000SAF,1973,M12,1973 Dec,52.0
CUUR0000SAF,1974,M01,1974 Jan,52.8
CUUR0000SAF,1974,M02,1974 Feb,54.0
CUUR0000SAF,1974,M03,1974 Mar,54.5
CUUR0000SAF,1974,M04,1974 Apr,54.4
CUUR0000SAF,1974,M05,1974 May,54.8
CUUR0000SAF,1974,M06,1974 Jun,55.0
CUUR0000SAF,1974,M07,1974 Jul,55.1
CUUR0000SAF,1974,M08,1974 Aug,55.9
CUUR0000SAF,1974,M09,1974 Sep,56.7
CUUR0000SAF,1974,M10,1974 Oct,57.1
CUUR0000SAF,1974,M11,1974 Nov,57.6
CUUR0000SAF,1974,M12,1974 Dec,58.3
CUUR0000SAF,1975,M01,1975 Jan,58.7
CUUR0000SAF,1975,M02,1975 Feb,58.9
CUUR0000SAF,1975,M03,1975 Mar,58.9
CUUR0000SAF,1975,M04,1975 Apr,58.8
CUUR0000SAF,1975,M05,1975 May,59.0
CUUR0000SAF,1975,M06,1975 Jun,59.9
CUUR0000SAF,1975,M07,1975 Jul,61.2
CUUR0000SAF,1975,M08,1975 Aug,61.1
CUUR0000SAF,1975,M09,1975 Sep,61.0
CUUR0000SAF,1975,M10,1975 Oct,61.4
CUUR0000SAF,1975,M11,1975 Nov,61.6
CUUR0000SAF,1975,M12,1975 Dec,61.9
CUUR0000SAF,1976,M01,1976 Jan,61.9
CUUR0000SAF,1976,M02,1976 Feb,61.7
CUUR0000SAF,1976,M03,1976 Mar,61.3
CUUR0000SAF,1976,M04,1976 Apr,61.5
CUUR0000SAF,1976,M05,1976 May,61.8
CUUR0000SAF,1976,M06,1976 Jun,62.1
CUUR0000SAF,1976,M07,1976 Jul,62.5
CUUR0000SAF,1976,M08,1976 Aug,62.6
CUUR0000SAF,1976,M09,1976 Sep,62.3
CUUR0000SAF,1976,M10,1976 Oct,62.4
CUUR0000SAF,1976,M11,1976 Nov,62.2
CUUR0000SAF,1976,M12,1976 Dec,62.4
CUUR0000SAF,1977,M01,1977 Jan,62.9
CUUR0000SAF,1977,M02,1977 Feb,64.3
CUUR0000SAF,1977,M03,1977 Mar,64.6
CUUR0000SAF,1977,M04,1977 Apr,65.3
CUUR0000SAF,1977,M05,1977 May,65.6
CUUR0000SAF,1977,M06,1977 Jun,66.2
CUUR0000SAF,1977,M07,1977 Jul,66.5
CUUR0000SAF,1977,M08,1977 Aug,66.7
CUUR0000SAF,1977,M09,1977 Sep,66.5
CUUR0000SAF,1977,M10,1977 Oct,66.5
CUUR0000SAF,1977,M11,1977 Nov,66.9
CUUR0000SAF,1977,M12,1977 Dec,67.1
CUUR0000SAF,1978,M01,1978 Jan,68.1
